   rho:   eigenvalue
      19.400000, 	      1413.9969,
      19.450000, 	      1417.2128,
      19.500000, 	      1420.4044,
      19.550000, 	      1423.5714,
      19.600000, 	      1426.7139,
      19.650000, 	      1429.8317,
      19.700000, 	      1432.9247,
      19.750000, 	      1435.9926,
      19.800000, 	      1439.0355,
      19.850000, 	      1442.0532,
      19.900000, 	      1445.0456,
      19.950000, 	      1448.0126,
      20.000000, 	      1450.9540,
      20.050000, 	      1453.8697,
      20.100000, 	      1456.7596,
      20.150000, 	      1459.6236,
      20.200000, 	      1462.4616,
      20.250000, 	      1465.2735,
      20.300000, 	      1468.0592,
      20.350000, 	      1470.8185,
      20.400000, 	      1473.5513,
      20.450000, 	      1476.2576,
      20.500000, 	      1478.9372,
      20.550000, 	      1481.5900,
      20.600000, 	      1484.2160,
      20.650000, 	      1486.8150,
      20.700000, 	      1489.3868,
      20.750000, 	      1491.9315,
      20.800000, 	      1494.4489,
      20.850000, 	      1496.9389,
      20.900000, 	      1499.4014,
      20.950000, 	      1501.8363,
      21.000000, 	      1504.2436,
      21.050000, 	      1506.6230,
      21.100000, 	      1508.9746,
      21.150000, 	      1511.2983,
      21.200000, 	      1513.5938,
      21.250000, 	      1515.8613,
      21.300000, 	      1518.1004,
      21.350000, 	      1520.3113,
      21.400000, 	      1522.4937,
      21.450000, 	      1524.6477,
      21.500000, 	      1526.7730,
      21.550000, 	      1528.8697,
      21.600000, 	      1530.9376,
      21.650000, 	      1532.9767,
      21.700000, 	      1534.9869,
      21.750000, 	      1536.9681,
      21.800000, 	      1538.9202,
      21.850000, 	      1540.8432,
      21.900000, 	      1542.7369,
      21.950000, 	      1544.6013,
      22.000000, 	      1546.4364,
      22.050000, 	      1548.2420,
      22.100000, 	      1550.0181,
      22.150000, 	      1551.7646,
      22.200000, 	      1553.4814,
      22.250000, 	      1555.1685,
      22.300000, 	      1556.8258,
      22.350000, 	      1558.4532,
      22.400000, 	      1560.0507,
      22.450000, 	      1561.6183,
      22.500000, 	      1563.1557,
      22.550000, 	      1564.6631,
      22.600000, 	      1566.1402,
      22.650000, 	      1567.5872,
      22.700000, 	      1569.0038,
      22.750000, 	      1570.3901,
      22.800000, 	      1571.7460,
      22.850000, 	      1573.0714,
      22.900000, 	      1574.3663,
      22.950000, 	      1575.6307,
      23.000000, 	      1576.8644,
      23.050000, 	      1578.0674,
      23.100000, 	      1579.2398,
      23.150000, 	      1580.3813,
      23.200000, 	      1581.4921,
      23.250000, 	      1582.5720,
      23.300000, 	      1583.6210,
      23.350000, 	      1584.6390,
      23.400000, 	      1585.6260,
      23.450000, 	      1586.5820,
      23.500000, 	      1587.5069,
      23.550000, 	      1588.4007,
      23.600000, 	      1589.2634,
      23.650000, 	      1590.0948,
      23.700000, 	      1590.8950,
      23.750000, 	      1591.6639,
      23.800000, 	      1592.4015,
      23.850000, 	      1593.1077,
      23.900000, 	      1593.7825,
      23.950000, 	      1594.4259,
      24.000000, 	      1595.0377,
      24.050000, 	      1595.6180,
      24.100000, 	      1596.1668,
      24.150000, 	      1596.6838,
      24.200000, 	      1597.1691,
      24.250000, 	      1597.6225,
      24.300000, 	      1598.0441,
      24.350000, 	      1598.4335,
      24.400000, 	      1598.7906,
      24.450000, 	      1599.1152,
      24.500000, 	      1599.4067,
      24.550000, 	      1599.6646,
      24.600000, 	      1599.8877,
      24.650000, 	      1600.0743,
      24.700000, 	      1600.2326,
      24.750000, 	      1600.2922,
      24.800000, 	      1600.4374,
      24.850000, 	      1600.6935,
      24.900000, 	      1601.0552,
